Model,Lowest Accuracy,Highest Accuracy,Average Accuracy
VADER,64.81,74.81,69.81
TextBlob,66.969,76.969,71.969
LSTM,69.565,88.043,83.913
LSTM,69.565,88.043,84.674
LSTM,69.565,88.043,83.261
LSTM,69.565,89.13,84.457
LSTM,69.565,88.043,84.022
LSTM,69.565,89.13,84.348
LSTM,72.826,88.043,84.783
LSTM,69.565,88.043,84.239
LSTM,69.565,88.043,84.565
LSTM,69.565,88.043,84.565
LSTM,69.565,88.043,84.783
LSTM,69.565,88.043,84.783
LSTM,69.565,89.13,85
LSTM,69.565,88.043,83.913
LSTM,69.565,89.13,84.239
LSTM,69.565,88.043,83.913
LSTM,75,88.043,84.565
LSTM,69.565,88.043,84.457
LSTM,68.478,89.13,84.674
LSTM,69.565,88.043,84.022
LSTM,69.565,88.043,85.435
LSTM,69.565,89.13,84.891
LSTM,69.565,88.043,84.565
LSTM,69.565,88.043,84.783
LSTM,69.565,88.043,84.13
FinBERT,92.8,99,95.9
